job_id,job_name,machine,product,operator,priority,planned_start,planned_end,actual_start,actual_end,forecast_end,variance_hrs,notes
JOB-001,Valve Body — Batch A,CNC-01,Valve Body,James O.,HIGH,2026-06-01T06:00,2026-06-02T06:00,2026-06-01T06:00,2026-06-02T04:30,,−1.5,Completed 1.5h early
JOB-002,Pump Housing — Run #7,CNC-01,Pump Housing,James O.,MEDIUM,2026-06-02T06:30,2026-06-03T14:30,2026-06-02T07:00,2026-06-03T16:00,,+1.5,Minor material wait
JOB-003,Manifold Block — P238,CNC-01,Manifold,Sarah K.,MEDIUM,2026-06-03T15:00,2026-06-05T02:00,2026-06-03T16:30,2026-06-05T05:30,,+3.5,Late start cascade
JOB-004,Cylinder Head — Set C,CNC-01,Cylinder Head,Sarah K.,HIGH,2026-06-05T03:00,2026-06-06T19:00,2026-06-05T06:30,2026-06-06T23:00,,+4.0,Cascade from JOB-003
JOB-005,Bracket Assy — Series 4,CNC-01,Bracket,James O.,LOW,2026-06-07T06:00,2026-06-08T14:00,2026-06-07T06:00,,2026-06-08T15:30,+1.5,In progress — on track
JOB-006,Valve Body — Batch B,CNC-01,Valve Body,Mike T.,MEDIUM,2026-06-08T16:00,2026-06-10T08:00,,,2026-06-10T08:00,0.0,Scheduled
JOB-007,Pump Housing — Run #8,CNC-01,Pump Housing,Mike T.,MEDIUM,2026-06-10T09:00,2026-06-12T01:00,,,2026-06-12T01:00,0.0,Scheduled
JOB-008,Manifold Block — P239,CNC-02,Manifold,Anna R.,HIGH,2026-06-01T06:00,2026-06-02T14:00,2026-06-01T06:00,2026-06-02T10:00,,−4.0,4h ahead — new tooling
JOB-009,Cylinder Head — Set D,CNC-02,Cylinder Head,Anna R.,HIGH,2026-06-02T15:00,2026-06-04T07:00,2026-06-02T11:30,2026-06-04T02:00,,−5.0,Continued early run
JOB-010,Bracket Assy — Series 5,CNC-02,Bracket,Chen L.,MEDIUM,2026-06-04T08:00,2026-06-05T16:00,2026-06-04T03:30,2026-06-05T08:00,,−8.0,8h ahead — high performer
JOB-011,Valve Body — Batch C,CNC-02,Valve Body,Chen L.,HIGH,2026-06-05T17:00,2026-06-07T01:00,2026-06-05T09:00,2026-06-06T14:00,,−11.0,Best run this period
JOB-012,Manifold Block — P240,CNC-02,Manifold,Anna R.,MEDIUM,2026-06-07T02:00,2026-06-08T18:00,2026-06-06T15:00,,2026-06-08T14:00,−4.0,In progress — running ahead
JOB-013,Pump Housing — Run #9,CNC-02,Pump Housing,Anna R.,MEDIUM,2026-06-09T00:00,2026-06-10T16:00,,,2026-06-10T12:00,−4.0,Likely to start early
JOB-014,Cylinder Head — Set E,CNC-02,Cylinder Head,Chen L.,HIGH,2026-06-11T00:00,2026-06-12T16:00,,,2026-06-12T16:00,0.0,Scheduled
JOB-015,Bracket Weld — W041,WELD-01,Bracket,Dave P.,MEDIUM,2026-06-01T06:00,2026-06-02T22:00,2026-06-01T06:00,2026-06-02T22:30,,+0.5,On time
JOB-016,Frame Joint — FJ-119,WELD-01,Valve Body,Dave P.,MEDIUM,2026-06-03T00:00,2026-06-03T16:00,2026-06-03T00:00,2026-06-03T16:30,,+0.5,On time
JOB-017,Pump Manifold — PM-77,WELD-01,Manifold,Dave P.,HIGH,2026-06-03T17:00,2026-06-04T09:00,2026-06-03T17:00,2026-06-05T22:00,,+37.0,BREAKDOWN — sensor failure Jun 3 18:30
JOB-018,Cylinder Weld — CW-33,WELD-01,Cylinder Head,Emma W.,HIGH,2026-06-04T10:00,2026-06-05T02:00,2026-06-05T23:00,2026-06-06T15:00,,+37.0,Cascade from breakdown
JOB-019,Bracket Weld — W042,WELD-01,Bracket,Emma W.,HIGH,2026-06-05T03:00,2026-06-06T19:00,2026-06-06T16:00,2026-06-08T08:00,,+37.0,Cascade from breakdown
JOB-020,Frame Joint — FJ-120,WELD-01,Valve Body,Dave P.,MEDIUM,2026-06-07T00:00,2026-06-08T16:00,2026-06-08T09:00,,2026-06-10T01:00,+33.0,In progress — heavily delayed
JOB-021,Pump Manifold — PM-78,WELD-01,Manifold,Dave P.,MEDIUM,2026-06-09T00:00,2026-06-10T16:00,,,2026-06-11T23:00,+31.0,At risk — cascade impact
JOB-022,Cylinder Weld — CW-34,WELD-01,Cylinder Head,Emma W.,LOW,2026-06-11T00:00,2026-06-12T16:00,,,2026-06-12T16:00,0.0,Scheduled
JOB-023,Valve Weld — VW-055,WELD-02,Valve Body,Ryan B.,MEDIUM,2026-06-01T06:00,2026-06-02T14:00,2026-06-01T06:00,2026-06-02T15:30,,+1.5,Slight overrun
JOB-024,Pump Frame — PF-033,WELD-02,Pump Housing,Ryan B.,HIGH,2026-06-02T16:00,2026-06-04T08:00,2026-06-02T16:30,2026-06-04T09:00,,+1.0,On time
JOB-025,Bracket Weld — W043,WELD-02,Bracket,Emma W.,MEDIUM,2026-06-04T09:00,2026-06-05T17:00,2026-06-04T09:30,2026-06-05T17:30,,+0.5,On time
JOB-026,Manifold Weld — MW-011,WELD-02,Manifold,Ryan B.,MEDIUM,2026-06-05T18:00,2026-06-07T10:00,2026-06-05T18:00,2026-06-07T10:30,,+0.5,On time
JOB-027,Valve Weld — VW-056,WELD-02,Valve Body,Ryan B.,LOW,2026-06-07T11:00,2026-06-08T19:00,2026-06-07T11:30,,2026-06-08T20:00,+1.0,In progress — on track
JOB-028,Pump Frame — PF-034,WELD-02,Pump Housing,Emma W.,MEDIUM,2026-06-08T20:00,2026-06-10T12:00,,,2026-06-10T12:00,0.0,Scheduled
JOB-029,Bracket Weld — W045,WELD-02,Bracket,Ryan B.,MEDIUM,2026-06-10T13:00,2026-06-12T05:00,,,2026-06-12T05:00,0.0,Scheduled
JOB-030,Valve Sub-Assy — VSA-201,ASSY-A,Valve Body,Mike T.,HIGH,2026-06-01T06:00,2026-06-03T14:00,2026-06-01T06:00,2026-06-03T16:00,,+2.0,Slight delay
JOB-031,Pump Assembly — PA-088,ASSY-A,Pump Housing,Mike T.,HIGH,2026-06-03T15:00,2026-06-05T07:00,2026-06-03T15:30,2026-06-05T09:00,,+2.0,Slight delay
JOB-032,Bracket Sub-Assy — BSA-44,ASSY-A,Bracket,Sarah K.,MEDIUM,2026-06-05T08:00,2026-06-06T16:00,2026-06-07T14:00,,2026-06-08T22:00,+30.0,In progress — waiting WELD-01 parts
JOB-033,Manifold Assembly — MA-029,ASSY-A,Manifold,Sarah K.,HIGH,2026-06-06T17:00,2026-06-08T09:00,,,2026-06-10T01:00,+40.0,Not started — blocked on WELD-01
JOB-034,Valve Sub-Assy — VSA-202,ASSY-A,Valve Body,Mike T.,MEDIUM,2026-06-08T10:00,2026-06-10T02:00,,,2026-06-11T14:00,+12.0,At risk — upstream cascade
JOB-035,Cylinder Assembly — CA-017,ASSY-A,Cylinder Head,Mike T.,MEDIUM,2026-06-10T03:00,2026-06-12T19:00,,,2026-06-12T19:00,0.0,Scheduled
JOB-036,Pump Sub-Assy — PSA-066,ASSY-B,Pump Housing,Chen L.,HIGH,2026-06-01T06:00,2026-06-03T22:00,2026-06-01T06:00,2026-06-03T22:30,,+0.5,On time
JOB-037,Cylinder Sub-Assy — CSA-011,ASSY-B,Cylinder Head,Chen L.,MEDIUM,2026-06-04T00:00,2026-06-05T16:00,2026-06-04T00:30,2026-06-05T17:00,,+1.0,On time
JOB-038,Bracket Assembly — BA-103,ASSY-B,Bracket,Anna R.,MEDIUM,2026-06-05T17:00,2026-06-07T09:00,2026-06-05T17:30,2026-06-07T09:00,,0.0,Completed on time
JOB-039,Pump Sub-Assy — PSA-067,ASSY-B,Pump Housing,Anna R.,HIGH,2026-06-07T10:00,2026-06-08T18:00,2026-06-07T10:00,,2026-06-08T18:00,0.0,In progress — on track
JOB-040,Valve Assembly — VA-055,ASSY-B,Valve Body,Chen L.,MEDIUM,2026-06-08T19:00,2026-06-10T11:00,,,2026-06-10T11:00,0.0,Scheduled
JOB-041,Cylinder Assembly — CA-018,ASSY-B,Cylinder Head,Chen L.,LOW,2026-06-10T12:00,2026-06-12T04:00,,,2026-06-12T04:00,0.0,Scheduled
